brand,model,tank,capacity,transmission,rent_price,discount_percentage
Chevrolet,Prizm,72.93,7,XS,4.99,12
Mercury,Mountaineer,57.46,6,XS,69.99,20
Mercedes-Benz,C-Class,52.16,4,XS,1.99,15
Toyota,Tercel,75.1,3,XL,14.99,12
Nissan,Frontier,50.49,4,XS,19.99,17
Ford,Club Wagon,54.98,3,XL,3.89,15
Chevrolet,Tahoe,64.67,6,XS,22.99,18
Mercedes-Benz,SL-Class,59.24,7,3XL,249.99,15
BMW,5 Series,60.99,6,L,24.99,11
Lotus,Evora,76.9,4,XL,19.99,16
Lotus,Esprit,71.55,4,XS,5.49,16
BMW,Z3,53.65,6,2XL,149.99,19
Subaru,Brat,70.12,5,M,2.99,10
Jeep,Patriot,54.78,7,2XL,5.99,18
Lexus,LS,72.33,7,M,49.99,12
Kia,Rio,70.38,6,M,169.99,18
Bentley,Continental GTC,76.08,5,L,25.99,15
Mazda,CX-9,66.15,5,3XL,2.99,18
Chevrolet,Avalanche,59.67,3,3XL,3.99,13
Bentley,Continental Flying Spur,67.13,3,2XL,4.99,12
Land Rover,Discovery,73.81,6,L,39.99,10
Chevrolet,Corvette,67.34,6,XS,199,12
Honda,Accord,51.81,3,3XL,3.49,19
Dodge,D350,50.63,3,S,24.99,11
Nissan,Altima,79.11,3,3XL,29.99,10
GMC,Savana 2500,68.25,7,XL,14.99,12
Volvo,C70,60.29,6,2XL,1.49,14
Chrysler,Aspen,62.6,3,3XL,4.29,13
Nissan,Quest,61.38,7,3XL,4.99,17
Ford,Ranger,50.4,6,XL,54.99,11
Volkswagen,CC,65.84,5,L,39.99,16
Dodge,Caravan,77.24,5,M,99.99,10
Mitsubishi,Galant,50.97,5,M,3.49,20
Volkswagen,GLI,78.45,5,XL,14.99,11
Acura,ZDX,69.89,5,XS,29.99,10
Mazda,B-Series,58.84,6,M,59.99,18
BMW,M3,70.37,3,M,3.29,13
Ford,Explorer,67.26,3,XS,2.29,19
Chevrolet,Venture,73.37,3,3XL,24.99,11
Volvo,S80,78.05,5,XS,14.99,11
Dodge,Charger,66.86,5,M,4.99,18
Subaru,Tribeca,78.64,5,L,4.19,10
Volkswagen,Golf,70.79,4,3XL,9.99,13
Land Rover,LR3,64.21,4,3XL,3.29,19
Subaru,Loyale,68.74,3,L,2.99,13
Holden,VS Commodore,59.59,5,S,39.99,20
Ford,Focus,62.14,3,S,34.99,11
Ford,E-Series,65.2,7,L,39.99,10
Buick,Regal,52.78,6,S,2.29,16
BMW,X5,72.2,7,3XL,19.99,12
Buick,Skylark,74.96,6,XL,99.99,17
Mercedes-Benz,CL-Class,50.31,5,L,24.99,11
Audi,200,69.48,6,2XL,19.99,17
Jaguar,XJ Series,76.79,6,M,3.69,14
Mercedes-Benz,CL-Class,77.87,3,3XL,89.99,15
Ford,Focus,76.88,7,3XL,29.99,20
Chevrolet,Corvette,61.26,4,3XL,5.99,19
Ford,Expedition,78.82,4,M,1.49,18
Nissan,GT-R,79.74,7,L,54.99,14
Toyota,Yaris,74.78,5,S,24.99,16
Toyota,Tacoma Xtra,52.03,7,XL,3.49,10
Pontiac,Firefly,52.73,4,M,29.99,13
Toyota,4Runner,50.43,5,M,2.99,19
Lotus,Esprit,50.42,3,M,299.99,13
Ford,Five Hundred,54.2,6,L,1.5,14
Ford,Laser,74.38,3,L,199.99,15
Pontiac,Montana,64.25,6,L,8.99,19
Ford,F350,63.13,6,M,8.99,10
Suzuki,Aerio,66.1,7,XL,29.99,12
Suzuki,Esteem,56.18,3,2XL,19.99,15
Chevrolet,Impala,63.12,7,S,2.99,15
Nissan,Maxima,60.6,6,L,5.99,12
Chevrolet,Silverado 2500,73.05,7,XS,4.79,19
Maserati,GranTurismo,74.07,7,XL,8.99,12
Mazda,RX-7,59.84,6,L,4.99,18
Dodge,Grand Caravan,75.72,4,2XL,1.99,11
Geo,Metro,60.21,5,M,3.99,13
Land Rover,Defender 110,68.39,6,M,39.99,15
Suzuki,SX4,74.92,7,M,49.99,15
Volvo,S40,66.05,6,3XL,34.99,20
Bentley,Arnage,68.3,6,XL,12.99,19
Mitsubishi,Eclipse,73.65,6,XS,6.49,17
Pontiac,Bonneville,51.4,4,L,2.29,20
Hyundai,Tiburon,54.25,5,M,29.99,19
Isuzu,Trooper,66.5,7,XS,4.99,18
Mercedes-Benz,G-Class,51.86,7,XS,79.99,10
Mitsubishi,Expo,56.38,4,XS,19.99,18
Acura,RDX,68.76,6,3XL,79.99,11
Ford,Taurus,67.37,6,S,1.99,19
Audi,S8,54.14,4,2XL,49.99,19
Mercury,Grand Marquis,55.69,4,S,8.49,11
Dodge,Dakota Club,74.88,7,2XL,59.99,16
Mitsubishi,3000GT,69.51,7,S,12.99,13
Mitsubishi,Montero Sport,59.21,6,XS,34.99,12
Mitsubishi,3000GT,73.03,3,XL,49.99,10
Acura,TL,69.94,6,XS,69.99,16
Infiniti,Q,61.34,3,3XL,19.99,13
BMW,3 Series,67.49,6,XS,3.99,17
Toyota,Prius Plug-in,58.41,6,XS,59.99,20
BMW,5 Series,78.85,3,2XL,5.99,10
Chevrolet,Aveo,57.03,5,XS,49.99,17
Ram,1500,59.97,6,3XL,2.69,15
Cadillac,Catera,63.52,3,XS,59.99,19
GMC,1500 Club Coupe,56.28,6,XS,8.99,14
Cadillac,Seville,56.24,6,XS,14.99,16
Mitsubishi,Diamante,79.53,7,S,5.49,18
BMW,530,55.94,5,2XL,24.99,10
Chevrolet,Malibu,61.58,6,L,24.99,10
Lexus,SC,64.66,6,XL,39.99,19
Audi,S5,60.11,6,S,2.99,12
BMW,545,60.6,3,M,19.99,13
GMC,Sonoma,61.73,4,M,34.99,10
Saab,9-3,62.66,4,L,2.99,15
Subaru,Leone,72.83,7,S,6.49,19
Ford,E250,65.04,4,2XL,8.99,10
Dodge,Caliber,61.12,3,2XL,19.99,11
Mercury,Milan,79.89,5,XS,59.99,17
Chevrolet,Venture,59.12,6,XL,7.99,20
Mercedes-Benz,W126,64.44,7,2XL,34.99,12
Lincoln,Continental Mark VII,52.75,4,3XL,79.99,19
GMC,Canyon,74.46,5,L,3.99,11
Kia,Carens,58.66,7,3XL,5.99,11
Chevrolet,G-Series G30,66.09,7,2XL,2.79,13
Dodge,Viper RT/10,64.93,5,S,19.99,11
Chevrolet,G-Series G30,63.52,5,XL,11.99,15
Mitsubishi,Mighty Max,62.25,4,S,44.99,19
Nissan,Rogue,76.46,6,M,4.29,17
Nissan,Armada,62.9,7,XS,14.99,10
BMW,X5,59.51,6,S,29.99,13
Volvo,XC90,79.52,5,M,24.99,14
GMC,Savana,53.6,4,3XL,5.49,12
Toyota,Highlander,78.47,5,M,14.99,20
GMC,Suburban 1500,59.37,4,XS,15.99,18
Honda,Pilot,60.49,3,2XL,12.99,20
Acura,CL,73.41,3,XL,3.99,15
Nissan,Maxima,70.73,5,2XL,3.29,11
Mazda,B-Series,68.38,4,L,34.99,13
Saab,9-3,50.53,7,M,79.99,11
Jaguar,XK,50.5,3,S,299.99,14
Land Rover,Discovery Series II,73.49,6,3XL,2.99,13
Isuzu,Rodeo,58.27,4,XL,19.99,19
Toyota,TundraMax,63.25,3,M,14.99,20
Ford,Escort,73.35,6,XL,34.99,18
Dodge,Ram 2500,73.62,5,S,39.99,13
Pontiac,Grand Prix,78.78,6,S,24.99,16
Ford,Escape,77.85,4,2XL,39.99,19
Pontiac,LeMans,72.32,6,3XL,149.99,18
Chevrolet,Sportvan G30,68.62,7,S,2.49,20
Dodge,Nitro,66.17,4,L,39.99,11
Acura,CL,57.7,4,M,49.99,13
Mazda,RX-7,57.4,3,XL,4.49,14
Audi,A4,56.67,3,S,9.99,16
Lincoln,Continental,76.48,7,S,5.49,14
Dodge,Ram Van B350,63.58,5,XL,44.99,11
Nissan,Pathfinder,58.21,3,3XL,39.99,16
GMC,Savana 3500,70.83,3,XS,69.99,11
Mercedes-Benz,SL-Class,53.4,5,3XL,2.49,19
Ford,Focus,62.2,6,S,39.99,13
Jeep,Cherokee,73.78,3,M,2.59,12
Toyota,Land Cruiser,73.65,5,L,89.99,15
Kia,Sephia,76.55,3,XS,24.99,16
Ford,Freestar,66.01,5,2XL,199.99,19
Pontiac,Montana,78.52,3,2XL,15.99,14
Dodge,Stratus,75.28,7,L,2.29,10
Hyundai,Tucson,59.04,7,2XL,79.99,17
Chrysler,Sebring,70.38,3,2XL,7.99,13
Ford,Explorer,54.83,5,XL,2.49,12
Mazda,CX-9,65.94,4,S,8.99,19
Hyundai,Azera,76.93,5,S,4.29,13
Mazda,929,71.66,4,S,3.19,19
Mitsubishi,Pajero,78.45,3,L,2.49,13
Honda,Civic,62.08,6,XS,34.99,13
Dodge,Journey,70.27,5,XS,2.49,11
Audi,S8,76.16,5,3XL,19.99,12
Mercury,Grand Marquis,76.43,4,L,39.99,11
Scion,xA,60.93,7,M,49.99,12
Mazda,MX-5,66.43,5,S,99.99,18
Toyota,Matrix,61.16,6,3XL,12.99,18
Dodge,Ram Van 2500,69.29,5,XL,299.99,13
GMC,Yukon Denali,66.55,6,XS,1.99,19
Pontiac,Firebird,55.99,4,XS,1.49,17
Acura,Integra,73.72,5,XS,49.99,14
Nissan,Frontier,71.29,4,3XL,2.09,15
GMC,Sonoma Club Coupe,51.92,6,M,4.99,12
Ford,F350,69.87,4,XS,2.99,12
Toyota,Tacoma Xtra,63.5,6,S,4.99,15
Dodge,Ram Van B350,77.9,7,S,4.99,14
Volkswagen,Rabbit,67.79,6,3XL,49.99,17
Honda,Odyssey,76.59,7,3XL,6.49,14
MINI,Cooper,79.32,7,XL,49.99,11
Oldsmobile,Cutlass,50.9,5,3XL,1.99,17
BMW,650,73.46,3,L,9.99,17
Ford,Escort,76.8,5,M,3.39,13
Acura,TL,54.0,4,3XL,8.49,20
Volkswagen,New Beetle,53.11,5,M,4.49,20
Mercedes-Benz,CLS-Class,64.55,5,XS,14.99,15
BMW,3 Series,63.65,4,2XL,299.99,10
Ferrari,430 Scuderia,65.84,7,XS,3.49,13
Mitsubishi,Galant,67.35,5,S,89.99,17
BMW,M3,73.63,5,3XL,19.99,11
Mercedes-Benz,C-Class,54.47,4,XS,39.99,10
Land Rover,Freelander,71.63,7,M,34.99,20
Volkswagen,rio,50.19,5,XS,29.99,17
BMW,M3,69.85,4,XS,2.99,16
GMC,Sierra 1500,76.4,4,L,29.99,15
Dodge,Ram 2500,68.56,7,XL,29.99,11
Volvo,C30,76.37,3,3XL,11.99,14
GMC,Safari,74.43,5,M,59.99,10
Mazda,B-Series,55.11,5,2XL,4.99,20
Suzuki,SX4,73.68,3,M,8.99,12
Lincoln,Continental,58.64,3,XL,19.99,11
Cadillac,Seville,55.65,6,S,59.99,16
GMC,Sonoma,69.86,5,S,39.99,11
Mitsubishi,GTO,66.9,3,3XL,6.89,14
Audi,A4,77.93,3,M,39.99,14
Honda,Prelude,75.6,3,XS,1.29,17
Mitsubishi,Eclipse,72.72,4,3XL,3.49,20
Audi,100,79.14,7,2XL,79.99,14
Pontiac,Torrent,67.06,6,3XL,24.99,11
Honda,Element,61.28,7,M,22.99,20
Toyota,Tacoma Xtra,63.84,5,S,19.99,18
GMC,Sierra Hybrid,74.68,4,M,39.99,10
Kia,Sportage,72.77,3,XS,0.99,12
Honda,Prelude,51.78,3,XL,4.79,17
GMC,Sierra,67.8,6,XL,2.49,17
Rolls-Royce,Phantom,63.11,7,XL,3.99,18
Cadillac,DeVille,65.13,3,2XL,4.29,18
Oldsmobile,Silhouette,79.32,3,2XL,39.99,18
Saturn,Aura,65.05,5,3XL,12.99,15
Dodge,Caravan,74.93,5,XL,2.99,10
Pontiac,Firefly,54.11,5,S,15.49,19
Hyundai,Santa Fe,67.31,7,L,18.99,15
Buick,Century,77.21,5,S,5.29,19
Buick,Somerset,63.24,4,3XL,29.99,17
Pontiac,Grand Am,68.75,5,XL,4.29,12
Chevrolet,Tahoe,57.98,3,XL,8.99,11
Lincoln,LS,56.7,3,2XL,34.99,16
Lexus,LS Hybrid,78.12,6,3XL,4.29,13
Volkswagen,Jetta,72.99,4,S,2.29,16
Saturn,L-Series,60.84,6,XS,1.99,17
Ford,Aerostar,63.58,7,2XL,39.99,10
Mazda,B-Series,60.07,7,3XL,4.29,15
Mitsubishi,Eclipse,63.73,4,XL,29.99,11
Volkswagen,GTI,73.47,3,M,5.99,20
Nissan,Armada,70.61,5,2XL,19.99,19
Volkswagen,Touareg,54.26,5,L,24.99,13
Chrysler,300,63.78,6,M,6.99,13
GMC,Sierra 2500,60.51,4,L,3.5,18
Volvo,V70,71.68,5,3XL,5.99,15
Ford,F-Series,66.67,6,XS,6.99,16
Cadillac,Fleetwood,53.41,7,XL,3.49,13
BMW,Z4,74.8,7,M,2.99,16
Nissan,Pathfinder Armada,60.41,5,XS,12.99,18
Mercury,Milan,54.42,3,2XL,199.99,11
Chevrolet,Silverado 1500,74.41,7,XL,12.99,17
Mercedes-Benz,G-Class,78.6,6,M,2.99,19
Jaguar,XJ Series,75.76,7,XL,69.99,15
Mitsubishi,Endeavor,60.75,5,2XL,2.99,15
Buick,Roadmaster,61.4,4,XL,79.99,17
Honda,Civic,57.73,4,M,89.99,16
Lexus,IS,61.53,7,2XL,49.99,13
Chevrolet,Express 3500,69.71,5,M,34.99,12
Chrysler,Sebring,73.25,7,M,4.29,16
Mercedes-Benz,CL65 AMG,61.1,5,S,11.99,10
Mazda,Miata MX-5,53.4,6,2XL,12.99,13
Suzuki,X-90,74.65,5,M,2.39,20
Scion,xB,54.22,6,S,14.99,10
Nissan,Altima,72.82,6,XS,15.99,18
Mitsubishi,Space,59.12,6,3XL,19.99,14
Suzuki,Grand Vitara,54.02,3,3XL,79.99,16
Mercedes-Benz,S-Class,75.42,3,S,3.79,18
Nissan,Murano,51.38,4,S,4.5,13
Chevrolet,Malibu,54.93,4,2XL,2.29,17
BMW,7 Series,54.28,3,XL,3.49,19
Dodge,Nitro,57.29,3,XL,24.99,20
Ford,Taurus,61.08,3,L,14.99,12
Mercedes-Benz,W201,79.34,4,3XL,34.99,15
Bentley,Continental GT,78.87,7,XS,3.99,14
Mazda,Protege,74.05,5,2XL,159.99,13
Volvo,C30,65.86,3,XS,3.99,20
Porsche,911,72.11,6,3XL,9.49,14
Pontiac,Grand Prix,79.16,3,L,54.99,19
Buick,Skylark,79.28,7,XS,39.99,19
Mazda,B-Series,52.92,3,M,39.99,19
Jaguar,XK Series,59.38,7,XS,22.99,16
Ford,Aerostar,59.09,6,2XL,8.99,18
Chevrolet,Cobalt,52.34,4,3XL,12.99,14
Pontiac,LeMans,76.66,4,3XL,29.99,14
Infiniti,Q,68.55,6,M,2.49,19
Mercedes-Benz,SLK-Class,54.01,7,3XL,1.99,16
MINI,Cooper,68.02,3,M,39.99,14
Audi,Cabriolet,63.58,5,L,1.49,17
Mercedes-Benz,S-Class,74.83,4,3XL,19.99,20
Nissan,Rogue,56.06,3,XS,39.99,13
Chevrolet,Blazer,50.2,7,XL,39.99,15
BMW,5 Series,79.54,4,3XL,3.49,13
Mitsubishi,Endeavor,72.95,4,M,89.99,16
Chrysler,Sebring,79.66,6,XL,6.99,10
Lexus,IS-F,79.45,4,XL,12.99,11
Cadillac,Eldorado,52.47,3,M,5.99,10
Chrysler,Town & Country,51.14,5,XL,1.99,18
Cadillac,Escalade EXT,62.99,6,XL,18.99,17
Kia,Sorento,68.17,7,XS,7.99,18
Infiniti,FX,68.72,4,XL,5.49,10
Buick,Somerset,54.41,5,XL,24.99,10
Infiniti,Q,75.74,4,XS,3.79,14
Dodge,D150 Club,75.95,4,S,49.99,14
Chevrolet,Silverado 1500,67.21,3,L,129.99,10
Land Rover,Discovery,73.82,5,3XL,30,12
Ford,Ranger,77.39,7,S,299.99,20
Maybach,57,65.85,4,S,2.29,16
Mercury,Cougar,70.92,5,M,54.99,12
Buick,LaCrosse,56.41,5,XS,59.99,16
Honda,Ridgeline,52.09,6,3XL,4.29,17
Chevrolet,Suburban 2500,72.27,3,2XL,24.99,16
Cadillac,DeVille,53.9,6,M,29.99,18
Suzuki,SJ,66.25,3,M,2.29,15
Volkswagen,Eos,72.36,5,XS,14.99,14
Ford,Falcon,65.52,5,XL,3.79,11
GMC,Sierra 3500,76.41,7,M,1.5,15
Chevrolet,Express 1500,78.79,7,L,3.99,13
Ford,Explorer,73.6,5,3XL,8.99,10
Oldsmobile,Intrigue,51.11,6,M,3.19,12
Chevrolet,Beretta,64.47,5,2XL,19.99,12
Saab,9-3,73.05,5,2XL,1.89,13
Audi,200,62.92,5,2XL,2.49,17
BMW,X5,53.63,4,L,34.99,18
BMW,Z3,68.05,7,XS,29.99,11
Lincoln,Town Car,64.79,5,2XL,24.99,10
Hyundai,Veracruz,57.82,4,S,34.99,18
Audi,RS 6,79.01,3,XL,3.29,13
Saab,9000,58.9,4,2XL,29.99,19
Chevrolet,Silverado Hybrid,55.36,5,S,27.99,11
Mercedes-Benz,SL-Class,67.46,3,3XL,39.99,12
Mitsubishi,Raider,69.59,3,L,1.89,19
Audi,S4,74.09,3,M,15.99,16
Porsche,Boxster,74.56,7,XS,54.99,18
Toyota,Corolla,50.85,6,3XL,1.39,14
Mercedes-Benz,CLK-Class,76.25,4,M,4.79,14
Chevrolet,Suburban,71.97,7,M,6.99,20
Mitsubishi,Galant,72.81,6,3XL,24.99,12
Mazda,MPV,61.28,4,XL,3.29,14
Honda,Civic,68.49,3,L,3.99,19
Chevrolet,Corsica,66.58,7,S,49.99,11
Pontiac,Grand Prix,52.62,5,M,3.59,10
Ford,Probe,51.52,4,3XL,12.99,11
Oldsmobile,Achieva,65.25,3,XS,19.99,17
Infiniti,QX56,59.67,7,2XL,3.49,11
GMC,Yukon XL 1500,64.09,6,XL,4.99,12
Chevrolet,Silverado 3500,77.95,5,M,2.99,10
Dodge,Dakota Club,75.99,3,XS,49.99,19
Lamborghini,Gallardo,73.51,7,2XL,19.99,15
BMW,7 Series,78.97,6,2XL,3.49,19
Chevrolet,Camaro,53.84,7,2XL,8.99,16
Subaru,Justy,72.99,4,3XL,2.49,11
Mitsubishi,Eclipse,52.01,7,M,6.49,19
Saab,9000,67.26,3,M,109.99,11
GMC,Yukon XL 1500,77.03,7,S,39.99,13
Chevrolet,Lumina,65.35,3,XL,9.99,13
Oldsmobile,Bravada,51.24,7,S,24.99,12
Audi,S8,52.73,5,XS,29.99,14
Mitsubishi,Galant,50.64,7,M,129.99,11
Mercedes-Benz,SLK-Class,71.64,6,XS,9.99,16
Lincoln,Navigator L,74.58,7,S,4.99,16
Audi,A4,65.31,7,XS,3.99,15
MINI,Cooper,77.94,5,2XL,29.99,17
Nissan,Murano,65.63,6,XS,24.99,18
Ford,Edge,53.54,7,M,45.99,17
Honda,Civic,74.38,3,M,1.99,13
Mitsubishi,Outlander Sport,56.83,3,M,15.99,10
Honda,Fit,60.08,6,L,3.99,12
Lincoln,Blackwood,74.92,4,L,14.99,12
Jeep,Patriot,65.93,3,2XL,39.99,15
Saab,9-3,65.04,3,L,12.99,12
Suzuki,SJ 410,67.42,6,M,12.99,19
Dodge,Dakota,66.77,6,S,10.99,15
Chevrolet,1500,50.22,7,2XL,19.99,10
Mercury,Lynx,71.24,7,XL,3.99,15
Chevrolet,Avalanche 1500,58.9,6,S,2.99,10
Ford,Crown Victoria,74.39,6,L,129.99,16
Audi,TT,61.78,7,S,22.99,14
Acura,MDX,64.03,3,2XL,34.99,20
Porsche,911,54.51,3,L,15.99,19
Honda,Fit,50.53,5,S,4.99,19
Buick,Rendezvous,79.31,7,L,2.99,11
Bentley,Continental GTC,69.61,3,S,149.99,19
Ford,Edge,75.68,4,2XL,26.99,13
Nissan,Altima,69.81,7,S,39.99,15
Honda,Civic,77.02,4,M,4.29,14
Suzuki,SX4,75.53,3,3XL,2.49,18
Chevrolet,Silverado 2500,59.35,7,2XL,249.99,18
Ford,Focus,71.72,5,2XL,2.99,16
Chevrolet,Traverse,60.57,7,L,29.99,18
Nissan,Maxima,75.17,3,S,49.99,16
Honda,CR-V,54.92,5,M,4.29,15
Chevrolet,Sportvan G20,57.5,5,M,18.99,13
Chevrolet,Silverado 3500,78.35,6,XL,59.99,14
Nissan,Titan,72.04,6,XL,299.99,11
Mitsubishi,GTO,50.46,3,2XL,6.49,16
Chevrolet,Corsica,79.32,5,M,2.79,12
GMC,Jimmy,77.74,4,3XL,49.99,12
Lexus,RX Hybrid,76.5,6,2XL,2.49,14
Cadillac,Escalade,73.69,6,XL,19.99,13
Cadillac,SRX,70.75,4,XS,1.29,17
Aston Martin,DBS,74.71,6,XL,8.99,20
Pontiac,Sunbird,52.28,4,XL,1.5,20
Mitsubishi,Eclipse,67.08,5,M,3.99,19
Saturn,Outlook,54.55,5,3XL,24.99,18
Mercury,Cougar,65.43,4,2XL,44.99,15
Dodge,Ram 1500,70.54,3,XS,24.99,15
BMW,Z3,78.32,6,S,39.99,18
Nissan,Quest,54.29,7,XL,19.99,16
GMC,Jimmy,74.51,3,XL,19.99,14
Mazda,MX-5,54.18,6,L,3.99,18
Dodge,Ram Van 3500,60.85,4,2XL,5.99,16
Toyota,Corolla,72.25,3,M,4.99,18
Oldsmobile,LSS,63.67,3,S,49.99,14
Dodge,Ram 1500,62.82,4,M,34.99,12
Chevrolet,Camaro,68.58,3,XS,49.99,14
Chevrolet,Express,54.69,7,L,4.5,20
BMW,X3,67.9,3,S,5.49,16
Land Rover,Discovery,79.51,6,XL,4.49,12
Pontiac,Safari,58.95,7,L,3.49,14
Volkswagen,Jetta,65.43,7,2XL,5.49,14
Ford,Tempo,53.81,3,2XL,49.99,17
Toyota,Echo,59.7,6,XL,3.99,16
Isuzu,Rodeo,65.2,6,XL,19.99,15
Kia,Rondo,66.75,5,XL,22.99,13
Buick,Regal,75.58,7,XS,99.99,17
Morgan,Aero 8,56.45,6,2XL,15.99,14
Dodge,Viper RT/10,64.59,7,S,3.99,16
Plymouth,Voyager,50.62,4,L,54.99,20
Volvo,C70,60.33,6,S,2.99,10
Hummer,H1,74.84,6,2XL,4.99,18
Volkswagen,Phaeton,72.94,5,S,59.99,15
Ford,Edge,55.36,6,XS,6.49,12
Volvo,960,51.9,3,3XL,3.99,14
Chevrolet,Malibu,64.27,5,L,4.49,16
Ford,E-Series,53.85,4,XL,29.99,12
Honda,Fit,54.8,3,2XL,9.99,18
Lexus,LS,75.7,4,XL,22.99,17
Pontiac,Firebird,78.01,3,3XL,4.49,15
Smart,Fortwo,60.02,3,M,34.99,11
Infiniti,FX,57.51,4,2XL,5.99,19
Dodge,Stratus,59.74,4,XL,2.99,15
Audi,Coupe GT,54.45,6,3XL,3.49,15
Pontiac,Vibe,60.08,5,2XL,15.99,19
Honda,Insight,62.74,3,XS,3.49,15
Volkswagen,Passat,54.71,3,XL,3.29,14
Ford,Ranger,52.33,3,XS,5.99,20
Mazda,Mazda6,55.19,5,XL,1.99,14
